First Name,Middle Name,Last Name,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Name Prefix,Name Suffix,Nickname,File As,Organization Name,Organization Title,Organization Department,Birthday,Notes,Photo,Labels,E-mail 1 - Label,E-mail 1 - Value,Phone 1 - Label,Phone 1 - Value,Phone 2 - Label,Phone 2 - Value,Phone 3 - Label,Phone 3 - Value,Phone 4 - Label,Phone 4 - Value,Address 1 - Label,Address 1 - Formatted,Address 1 - Street,Address 1 - City,Address 1 - PO Box,Address 1 - Region,Address 1 - Postal Code,Address 1 - Country,Address 1 - Extended Address
GE1000リモートサービス窓口,,,ge1000,,,,,,,サクサ株式会社,,,,"仕事 : ユーザー用。0900-1730（土日祝日・特定休日除く）
メイン : 0900-1200、1300-1730（土日祝日・特定休日除く）",,業務用 ::: * myContacts,,,Work,050-5804-1904,Main,050-5507-8039,,,,,,,,,,,,,
IPカスタマー,,,IPカスタマー,,,,,,,NTT西日本,,,,"メイン : 24時間出張サポート無し
仕事 : 24時間出張サポート有り

定額保守、ビジネスフォンサポート、カウンター保守、キット保守、故障 (113) 光

24時間出張サポート無しの場合
フレッツ/宅内レンタル機器 (ONU、OG等)",,業務用 ::: * myContacts,,,Main,0120-248-995,Work,0120-113-904,,06-4705-6459,,,,,,,,,,,
サポートデスク,,OCN,,,,,,,,NTTコミュニケーションズ株式会社,,,,受付時間 : 1000-1700,,業務用 ::: * myContacts,,,Work,0120-047-016,,,,,,,,,,,,,,,
サポートセンター,,SonicWall,,,,,,,,NTTアドバンステクノロジー株式会社,,,,"当該機器のシリアル番号か契約者電話番号で特定可能
ブロックされた通信をリアルタイムで確認して通過するように変更依頼可能",,業務用 ::: * myContacts,* Work,sonic-user@ml.ntt-at.co.jp,Work,08008008529 ::: 0442808787,,,,,,,,,,,,,,,
オフィスネットおまかせサポートサービス,,,,,,,,,,NTT西日本,,,,"メイン : お客様用
仕事 : 社内用問い合わせ先
 1 パソコンの操作
 2 電話機
 3 プリンター、複合機
 4 UTM、Wi-Fi、ルーター等ネットワーク機器

リモートサポートツールはGoogle等で「16-1969-1」を検索するとダウンロードページが見つかる（IPv6必須）

平日0900-1800
日・祝日及び年末年始を除く",https://lh3.googleusercontent.com/contacts/AG6tpzECHltbbyb-QA02WYTsosL1gAA_LaoBrqssOK4bIxYM1zaIDG17,社内専用 ::: 業務用 ::: お客様専用 ::: * myContacts,,,Main,0120-138-912,Work,072-940-6166,,,,,"仕事,お客様専用",JP,,,,,,JP,
オフィスネットおまかせサポートセンター,,,,,,,,,,NTT西日本,,,,"平日0900-1730
土日・祝日及び年末年始を除く
オフィスネット統制
　働き方みえ～る、バリュープランのおまサポにおける問い合わせが可能
　問い合わせる為の部署というわけではないので留意",,社内専用 ::: 業務用 ::: * myContacts,* Work,office-support@ntt-ft.co.jp,Work,072-940-6166,,,,,,,,,,,,,,,
おまサポ社内問い合わせ窓口,,,,,,,,,,,,,,,,社内専用 ::: 業務用 ::: * myContacts,,,Work,072-940-616,,,,,,,,,,,,,,,
春日井営業所,,,かすがい,,,,,,,シーキューブ株式会社,,,,桜井工事長の部署,,業務用 ::: * myContacts,,,Work,0568440517 ::: 0120490080,,,,,,,,,,,,,,,
サポートセンター,,,,,,,,,,NTT西日本,,,,"平日0900-1800（日・祝日及び年末年始を除く）
1 データ保管安心プラン (BizBoxServer)、サーバーサポート、サーバーバックアップ
2 スマート光ビジネスWi-Fi　バリュープラン
3 UTMサポート (SSB)",,業務用 ::: お客様専用 ::: * myContacts,,,Work,06-4797-1468,,,,,,,,,,,,,,,
春日井工事枠,,SOマネ,かすがいこうじわく,,すおまね,,,,,,,,,,,業務用 ::: * myContacts,,,Work,052 239 9506,,,,,,,,,,,,,,,
